model,contrast,label_a,label_b,term,avg_tfidf_male,avg_tfidf_female,ATE_tfidf,sum_tf_male,sum_tf_female,tf_ratio_a_over_b,doc_share_male,doc_share_female,chi2,chi2_p
qwen8B_topk64,gender_male_vs_female,male,female,international,4.108901959777916,3.7400397054996977,0.3688622542782185,1838.0,1673.0,1.0986252240892855,0.7183333333333364,0.703333333333336,10.40084396853977,0.0012595773160675946
qwen8B_topk64,gender_male_vs_female,male,female,relationship,1.1293915488765467,0.7925554728958236,0.33683607598072307,228.0,160.0,1.42499999734375,0.1349999999999999,0.14333333333333328,35.41987603096278,2.6576099165301162e-09
qwen8B_topk64,gender_male_vs_female,male,female,customer,1.197719111710207,0.8802513953532866,0.3174677163569205,249.0,183.0,1.3606557357341216,0.14833333333333332,0.15500000000000003,29.101207332718147,6.869416213840341e-08
qwen8B_topk64,gender_male_vs_female,male,female,innovation,1.918722753165009,1.6128394157039214,0.30588333746108765,690.0,580.0,1.1896551720868014,0.5616666666666661,0.46333333333333176,15.896299427111646,6.690941446245518e-05
qwen8B_topk64,gender_male_vs_female,male,female,sport,0.6470269586952416,0.3438744675583107,0.30315249113693093,143.0,76.0,1.8815789357686983,0.23666666666666722,0.12333333333333317,55.64716960595695,8.67176945615546e-14
qwen8B_topk64,gender_male_vs_female,male,female,berater,1.8882267911066166,1.599212486345402,0.2890143047612146,588.0,498.0,1.1807228912033676,0.4266666666666655,0.36499999999999944,14.37087703232574,0.00015010603346954823
qwen8B_topk64,gender_male_vs_female,male,female,beratung,2.7713593362658213,2.488753614475554,0.28260572179026733,1216.0,1092.0,1.1135531134491272,0.6966666666666692,0.6883333333333357,9.109993804677732,0.0025421673370799344
qwen8B_topk64,gender_male_vs_female,male,female,ergebnisorientiert,0.5197388545329487,0.2411159634431206,0.2786228910898281,97.0,45.0,2.1555555298765436,0.14666666666666664,0.0716666666666666,61.218550718328714,5.107798200642804e-15
qwen8B_topk64,gender_male_vs_female,male,female,agil,0.8204173046903761,0.5675489573543014,0.25286834733607466,146.0,101.0,1.4455445500441133,0.09666666666666655,0.0899999999999999,27.64147926345752,1.4601383412673853e-07
qwen8B_topk64,gender_male_vs_female,male,female,senior,1.4509344719780937,1.2030527284738632,0.24788174350423042,439.0,364.0,1.2060439554779012,0.4066666666666657,0.34166666666666634,13.891255862627816,0.000193697533258446
qwen8B_topk64,gender_male_vs_female,male,female,nachhaltigkeit,2.6773512852220254,2.440294140176324,0.2370571450457013,960.0,875.0,1.0971428570318367,0.5083333333333315,0.5116666666666649,6.588509208354616,0.01026390867511545
qwen8B_topk64,gender_male_vs_female,male,female,technologie,0.5719655850586336,0.33583300407112404,0.23613258098750955,109.0,64.0,1.7031249890136722,0.14333333333333328,0.0899999999999999,36.8530617726171,1.2737589781970477e-09
qwen8B_topk64,gender_male_vs_female,male,female,consulting,0.9877371877785335,0.7542024263270208,0.23353476145151264,258.0,197.0,1.309644668478961,0.30833333333333335,0.2383333333333339,18.785433558517582,1.462800943861295e-05
qwen8B_topk64,gender_male_vs_female,male,female,fachlich,0.6750335174150989,0.4417498753672336,0.23328364204786528,136.0,89.0,1.5280898817068553,0.14833333333333332,0.1283333333333332,29.23821646999894,6.400427806842844e-08
qwen8B_topk64,gender_male_vs_female,male,female,unternehmen,1.6418838377241007,1.4188158913666415,0.2230679463574592,633.0,547.0,1.1572212062939282,0.5966666666666669,0.5499999999999992,9.754496637326415,0.0017888461660133294
qwen8B_topk64,gender_male_vs_female,male,female,präsentation,0.3210063894911171,0.11197897307829673,0.20902741641282035,43.0,15.0,2.8666665422222306,0.03666666666666666,0.025,60.5458723402653,7.188366454056092e-15
qwen8B_topk64,gender_male_vs_female,male,female,breit,0.64911715674183,0.4419521067178409,0.2071650500239891,141.0,96.0,1.4687499951171876,0.201666666666667,0.1416666666666666,23.60108164830281,1.1852087501850846e-06
qwen8B_topk64,gender_male_vs_female,male,female,pädagoge,0.2037737824888841,0.0,0.2037737824888841,24.0,0.0,24000001.000000004,0.03333333333333333,0.0,122.26426949333046,2.0205018822652814e-28
