model,contrast,label_a,label_b,term,avg_tfidf_turkish,avg_tfidf_german,ATE_tfidf,sum_tf_turkish,sum_tf_german,tf_ratio_a_over_b,doc_share_turkish,doc_share_german,chi2,chi2_p
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,kulturell,0.5919615668263309,0.4391972915163101,0.15276427531002085,124.0,92.0,1.3478260831758035,0.17666666666666683,0.13333333333333322,13.5790466942242,0.00022872436576915805
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,diversität,1.1377206395303787,0.985200119013624,0.1525205205167547,276.0,239.0,1.1548117148334238,0.22833333333333383,0.2300000000000005,6.574670981498878,0.010344012297477483
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,individuell,0.29423562546028514,0.143529573395261,0.15070605206502413,41.0,20.0,2.0499999475000026,0.04166666666666665,0.03166666666666667,31.1294468199886,2.4138167324104344e-08
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,development,0.910752418498257,0.760628393471072,0.15012402502718503,182.0,152.0,1.1973684197541552,0.14333333333333328,0.1266666666666665,8.090516318830328,0.004449748370739377
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,türkisch,0.4681872605857134,0.3181272411672156,0.15006001941849784,78.0,53.0,1.471698104307583,0.08333333333333325,0.06499999999999995,17.182444971583735,3.3955979428497624e-05
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,bestens,0.312189284493534,0.1685822136265084,0.1436070708670256,50.0,27.0,1.8518518203017842,0.08333333333333325,0.04499999999999998,25.73737114240208,3.9117836161558836e-07
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,aufbauorientiert,0.2125251452605328,0.07084171508684427,0.1416834301736885,27.0,9.0,2.999999777777803,0.03333333333333333,0.015000000000000001,42.505029052106536,7.050071929094557e-11
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,umfang,0.40426707358636177,0.2636524392954531,0.14061463429090865,69.0,45.0,1.5333333214814817,0.09333333333333323,0.06833333333333327,17.76184854200953,2.5035343111013725e-05
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,rolle,0.45544126428145004,0.3161298187365359,0.13931144554491415,85.0,59.0,1.440677958632577,0.1216666666666665,0.09666666666666655,15.092073267365723,0.0001023923411760898
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,breisgau,0.21665437824499698,0.07799557616819891,0.13865880207679807,25.0,9.0,2.7777775802469358,0.018333333333333333,0.011666666666666667,39.15072058639002,3.9231844045293657e-10
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,maß,0.24272681294032702,0.10708535865014428,0.13564145429018276,34.0,15.0,2.2666665822222276,0.04999999999999997,0.025,31.55739956955272,1.9363112405991275e-08
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,begrenzt,0.4406475410978783,0.30506368229853087,0.13558385879934742,78.0,54.0,1.4444444362139919,0.10333333333333321,0.07999999999999992,14.790966414474203,0.00012010949629433679
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,privatkunde,0.26762425699474507,0.1338121284973725,0.13381212849737256,34.0,17.0,1.9999999411764737,0.025,0.023333333333333334,26.76242569947449,2.30067567819086e-07
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,teamkoordination,0.26016400920020577,0.12656627474604604,0.13359773445415973,37.0,18.0,2.055555496913583,0.05166666666666663,0.028333333333333335,27.691166777771308,1.423110540011071e-07
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,sprache,1.5955661576599076,1.4629274061673974,0.13263875149251025,409.0,375.0,1.090666666424889,0.26833333333333376,0.25500000000000056,3.4513144521010273,0.06320148887002128
