model,contrast,label_a,label_b,term,avg_tfidf_german,avg_tfidf_turkish,ATE_tfidf,sum_tf_german,sum_tf_turkish,tf_ratio_a_over_b,doc_share_german,doc_share_turkish,chi2,chi2_p
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,menschenzentriert,1.0073289139401458,0.4929481919281577,0.514380722011988,188.0,92.0,2.04347824952741,0.11166666666666653,0.10666666666666653,105.81546281389525,8.093160603375915e-25
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kenntnisse,1.691115507737681,1.1814642588304398,0.5096512489072411,584.0,408.0,1.4313725479623223,0.4883333333333315,0.4683333333333317,54.25319746432045,1.7625011864713594e-13
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,webentwicklung,1.1680383941611647,0.6699915661939675,0.49804682796719724,197.0,113.0,1.743362825279975,0.07666666666666659,0.07833333333333325,80.97277461144135,2.288488827093048e-19
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,steuerwesen,0.9119730162097243,0.46154731917931263,0.45042569703041163,164.0,83.0,1.9759036026999566,0.09999999999999988,0.09333333333333323,88.62627075173283,4.7691333053601685e-21
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,jahr,1.8635401664886324,1.4287141276412827,0.4348260388473497,600.0,460.0,1.304347825425331,0.44333333333333197,0.3999999999999991,34.45791251243111,4.355684982496309e-09
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,vertreiben,1.0691443246985042,0.6485804434189982,0.42056388127950595,211.0,128.0,1.648437494934082,0.1216666666666665,0.13833333333333325,61.78195070123741,3.836751536670989e-15
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,relationship,1.1690193225213381,0.7529276992510325,0.4160916232703056,236.0,152.0,1.5526315753116344,0.1349999999999999,0.14333333333333328,54.04901498150387,1.9555011886060433e-13
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,fokussierend,0.4880529272511191,0.0736683663775274,0.4143845608735917,53.0,8.0,6.624999296875088,0.008333333333333333,0.013333333333333334,183.41611710798315,8.701240365966584e-42
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,experte/-in,0.8725150165295738,0.48640204944464727,0.3861129670849265,174.0,97.0,1.7938144248060368,0.13999999999999993,0.1283333333333332,65.82442464695012,4.929355643725603e-16
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,customer,1.2265798131971997,0.8513906938662938,0.3751891193309058,255.0,177.0,1.4406779636119889,0.14833333333333332,0.15500000000000003,40.64548792751537,1.825081864769126e-10
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,finanzwesen,1.0307781587076437,0.6637995472305767,0.366978611477067,191.0,123.0,1.5528455239606056,0.10499999999999987,0.1083333333333332,47.683845058166774,5.008014689371183e-12
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,betreuend,0.3885595732574056,0.09515744651201773,0.29340212674538785,49.0,12.0,4.08333307638891,0.02666666666666667,0.02,106.77913465160024,4.976525767927062e-25
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kenntniss,0.6219990730304589,0.34175773243431806,0.2802413405961408,91.0,50.0,1.8199999836000003,0.028333333333333335,0.06166666666666661,48.89317006145434,2.702903168448589e-12
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,optimierung,0.6767391634116952,0.42814110338290845,0.2485980600287867,147.0,93.0,1.5806451550468263,0.2083333333333337,0.1349999999999999,33.56073810388631,6.9072989366121194e-09
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kreativ,1.9271702155294077,1.6831042507337455,0.24406596479566223,608.0,531.0,1.1450094159227695,0.4166666666666656,0.39499999999999913,9.89977837889376,0.0016529867733172227
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,münchen,2.0081236177432085,1.7780261198767975,0.23009749786641098,672.0,595.0,1.1294117644883837,0.46999999999999836,0.4349999999999987,8.390295502310924,0.0037722957711428026
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,verantwortend,0.4711755780606353,0.24986583685033667,0.22130974121029864,66.0,35.0,1.885714260408164,0.030000000000000002,0.04499999999999998,40.756051351599496,1.7246853768168433e-10
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,leiter,0.2796416077476785,0.06802093161430017,0.21162067613337832,37.0,9.0,4.111110765432137,0.048333333333333305,0.01,77.28755128349471,1.477946404954959e-18
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,digitalisierung,1.2609742289671593,1.0501228005169132,0.21085142845024607,305.0,254.0,1.2007874007843016,0.23666666666666722,0.21833333333333377,11.542135439315945,0.0006803644792732145
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,beratend,0.5432919503513559,0.3329853889250243,0.21030656142633164,93.0,57.0,1.6315789362880888,0.0899999999999999,0.07333333333333326,30.284144845391754,3.73163831054849e-08
