model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p
gemini,gender_female_vs_male,female,male,umfassend,0.9505648274264737,0.7119456732165368,0.23861915420993696,243.0,182.0,1.3351648333232702,0.2933333333333335,0.22666666666666715,20.549320103726593,5.8114428345174365e-06
gemini,gender_female_vs_male,female,male,engagiert,1.0930119918263586,0.8672812543839586,0.2257307374423999,460.0,365.0,1.2602739718896603,0.7366666666666701,0.5699999999999996,15.59594185965603,7.842271940303995e-05
gemini,gender_female_vs_male,female,male,denkend,0.5077752864761417,0.2843541604266392,0.22342112604950248,100.0,56.0,1.7857142716836738,0.1650000000000001,0.09333333333333323,37.80972902376186,7.799184588855861e-10
gemini,gender_female_vs_male,female,male,assistenz,0.4849662164282299,0.26356859588490716,0.22139762054332274,92.0,50.0,1.8399999832000005,0.14666666666666664,0.08333333333333325,39.29028195557551,3.6525469796620157e-10
gemini,gender_female_vs_male,female,male,führungskraft,0.22039644693684882,0.00787130167631603,0.2125251452605328,28.0,1.0,27.999973000027005,0.04666666666666664,0.0016666666666666668,118.72094321450444,1.2054994824416872e-27
gemini,gender_female_vs_male,female,male,sozial,1.5882687614651485,1.3789060610901958,0.20936270037495275,440.0,382.0,1.1518324603355172,0.31833333333333325,0.30500000000000005,8.86353038083723,0.002909243722802123
gemini,gender_female_vs_male,female,male,korrespondenz,0.34829826117420565,0.1393193044696823,0.20897895670452335,55.0,22.0,2.4999999318181847,0.08666666666666657,0.034999999999999996,53.73744600973444,2.2915378526174504e-13
gemini,gender_female_vs_male,female,male,administrativ,0.7210545910262653,0.515663283279389,0.2053913077468763,165.0,118.0,1.398305081370296,0.2300000000000005,0.1650000000000001,20.466554340854596,6.068241075957371e-06
gemini,gender_female_vs_male,female,male,persönlichkeit,0.4065724424752663,0.2032862212376334,0.2032862212376329,70.0,35.0,1.9999999714285723,0.11333333333333319,0.053333333333333295,40.65724424752669,1.8141344250354062e-10
gemini,gender_female_vs_male,female,male,teamleitung,0.2538190056441393,0.05225685410320512,0.20156215154093415,34.0,7.0,4.857142306122527,0.04999999999999997,0.011666666666666667,79.64163060885684,4.488672893911914e-19
gemini,gender_female_vs_male,female,male,fach,0.23142321102847993,0.04479158923131868,0.18663162179716125,31.0,6.0,5.166665972222338,0.05166666666666663,0.01,75.66146829614635,3.367146102636715e-18
gemini,gender_female_vs_male,female,male,term,0.3348566084978163,0.15502620763787794,0.17983040085993834,54.0,25.0,2.1599999536000016,0.0899999999999999,0.04166666666666665,39.608214872948416,3.1037496563620847e-10
gemini,gender_female_vs_male,female,male,verhandlungssich,1.0172423635429846,0.8377290052706929,0.17951335827229165,170.0,140.0,1.214285712755102,0.07833333333333325,0.0716666666666666,10.423356286778187,0.0012443155392381385
gemini,gender_female_vs_male,female,male,ehrenamtlich,0.3822451950828312,0.20849737913609004,0.17374781594674119,66.0,36.0,1.8333333101851859,0.1083333333333332,0.05999999999999995,30.66137928471901,3.072195438450518e-08
gemini,gender_female_vs_male,female,male,organisatorisch,0.9120433618104276,0.7407863113394743,0.1712570504709533,229.0,186.0,1.2311827944560065,0.2700000000000004,0.22833333333333383,10.646823860603849,0.0011026009417325951
gemini,gender_female_vs_male,female,male,communications,0.3289118424487131,0.15787768437538238,0.1710341580733307,50.0,24.0,2.083333288194446,0.06833333333333327,0.03666666666666666,36.05584953978331,1.9174232830000223e-09
gemini,gender_female_vs_male,female,male,prävention,0.23473052702198155,0.06601796072493235,0.1687125662970492,32.0,9.0,3.5555552716049696,0.05166666666666663,0.015000000000000001,56.78618085120199,4.858687568083558e-14
gemini,gender_female_vs_male,female,male,quereinstieg,1.2433568186926602,1.0749020239020428,0.16845479479061742,310.0,268.0,1.156716417325685,0.25500000000000056,0.23500000000000054,7.344395897445711,0.006727213439043151
gemini,gender_female_vs_male,female,male,extern,0.7019417824527365,0.5344329480037879,0.1675088344489486,176.0,134.0,1.3134328334818446,0.276666666666667,0.22000000000000045,13.616847187462996,0.00022416481852182717
gemini,gender_female_vs_male,female,male,interkulturell,1.6247460740145063,1.4577656455268841,0.16698042848762218,613.0,550.0,1.11454545433719,0.5749999999999997,0.5333333333333321,5.427222869159348,0.019825182314605654
