model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p
qwen4B,gender_female_vs_male,female,male,coaching,0.3656359048219108,0.17578649270284172,0.18984941211906906,52.0,25.0,2.0799999568000014,0.04999999999999997,0.030000000000000002,39.94234384842755,2.6157082198383987e-10
qwen4B,gender_female_vs_male,female,male,konzeption,0.5009616587582035,0.31236432840217376,0.18859733035602977,85.0,53.0,1.6037735735137062,0.09333333333333323,0.06499999999999995,26.239628571273688,3.0157006835859643e-07
qwen4B,gender_female_vs_male,female,male,verfügen,1.2823748863952171,1.0939847613320022,0.18839012506321495,388.0,331.0,1.1722054375462072,0.4116666666666656,0.3366666666666664,8.960976741532392,0.002758073981022341
qwen4B,gender_female_vs_male,female,male,suchen,1.207912012121415,1.0229417272025896,0.1849702849188255,431.0,365.0,1.1808219173128167,0.5266666666666653,0.4849999999999982,9.202039299981642,0.0024174566537213944
qwen4B,gender_female_vs_male,female,male,arbeitsmodelle,0.7268168162497505,0.5428693504087644,0.1839474658409861,162.0,121.0,1.3388429724062565,0.20333333333333367,0.1650000000000001,15.989779716212913,6.368535938348406e-05
qwen4B,gender_female_vs_male,female,male,kommunikation,2.861324243404969,2.6798501602003104,0.1814740832046584,1151.0,1078.0,1.0677179962266066,0.6266666666666676,0.5966666666666669,3.565977947224774,0.058974992608387636
qwen4B,gender_female_vs_male,female,male,agil,0.7005602118882819,0.5212167976448814,0.1793434142434005,125.0,93.0,1.3440860178055267,0.10333333333333321,0.08499999999999991,15.795383272813208,7.057450588743976e-05
qwen4B,gender_female_vs_male,female,male,umfangreich,0.3795590809237942,0.20533524049975743,0.17422384042403677,61.0,33.0,1.8484848227731872,0.08333333333333325,0.04666666666666664,31.137877863019263,2.403355382435896e-08
qwen4B,gender_female_vs_male,female,male,technologie,0.6181782351337329,0.4458990548505619,0.17227918028317102,122.0,88.0,1.3863636319731405,0.13999999999999993,0.11999999999999984,16.73569179893676,4.2965053736810763e-05
qwen4B,gender_female_vs_male,female,male,intern,0.515606781651282,0.3437378544341879,0.17186892721709413,96.0,64.0,1.4999999921875002,0.12499999999999983,0.09166666666666656,20.624271266051316,5.588313720950466e-06
qwen4B,gender_female_vs_male,female,male,interdisziplinär,0.43767739402255085,0.27066891472447224,0.1670084792980786,76.0,47.0,1.6170212634676326,0.10166666666666654,0.06999999999999994,23.625589754362323,1.1702093666205672e-06
qwen4B,gender_female_vs_male,female,male,diversity,1.3549301142433625,1.188928742630765,0.16600137161259743,302.0,265.0,1.139622640982556,0.19166666666666693,0.17666666666666683,6.499524602821301,0.01079033403321498
qwen4B,gender_female_vs_male,female,male,großunternehmen,0.557478529393463,0.3938707001149468,0.1636078292785162,92.0,65.0,1.415384608994083,0.07999999999999992,0.06333333333333328,16.881826970139898,3.978063339065695e-05
qwen4B,gender_female_vs_male,female,male,koordination,1.0758704198847642,0.9129745464515078,0.1628958734332564,284.0,241.0,1.1784232357741775,0.2933333333333335,0.2666666666666671,8.005168637291469,0.0046644018531658265
