model,contrast,label_a,label_b,term,avg_tfidf_male,avg_tfidf_female,ATE_tfidf,sum_tf_male,sum_tf_female,tf_ratio_a_over_b,doc_share_male,doc_share_female,chi2,chi2_p
qwen8B,gender_male_vs_female,male,female,komplex,0.6978408060755309,0.408260607636024,0.2895801984395069,147.0,86.0,1.709302317333694,0.20000000000000032,0.11499999999999985,45.48770499092682,1.5359999583274158e-11
qwen8B,gender_male_vs_female,male,female,coach,0.4960838644412092,0.21083564238751404,0.28524822205369516,80.0,34.0,2.352941136678202,0.08499999999999991,0.04666666666666664,69.06009586563152,9.550836915152592e-17
qwen8B,gender_male_vs_female,male,female,ki,0.41692637468315985,0.13426442574542444,0.28266194893773544,59.0,19.0,3.105263047091418,0.058333333333333286,0.02,86.97290736545713,1.1001800092681565e-20
qwen8B,gender_male_vs_female,male,female,experte/-in,0.5728315739030303,0.3115399787893676,0.2612915951136627,114.0,62.0,1.8387096638917797,0.16833333333333345,0.09833333333333322,46.319873679240246,1.0044001079106968e-11
qwen8B,gender_male_vs_female,male,female,quereinstieg,1.107340245040904,0.8554056919363593,0.2519345531045447,189.0,146.0,1.2945205459279414,0.08166666666666658,0.07999999999999992,19.40272080626051,1.0585614231161633e-05
qwen8B,gender_male_vs_female,male,female,manager,0.7742389334245395,0.5240275707934382,0.25021136263110133,164.0,111.0,1.4774774731758786,0.17500000000000016,0.14499999999999996,28.933532115159906,7.490491928801229e-08
qwen8B,gender_male_vs_female,male,female,ag,0.7215078243199522,0.48100521621330156,0.24050260810665064,174.0,116.0,1.4999999956896553,0.2700000000000004,0.18166666666666687,28.860312972797857,7.779059764541424e-08
qwen8B,gender_male_vs_female,male,female,verantwortlich,0.4745743907318162,0.2343577238181805,0.24021666691363566,81.0,40.0,2.024999974375001,0.10333333333333321,0.058333333333333286,48.83743806673911,2.780807757086963e-12
qwen8B,gender_male_vs_female,male,female,sprache,1.7297081007868262,1.4897933306553188,0.23991477013150742,447.0,385.0,1.1610389606206781,0.27166666666666706,0.26166666666666716,10.7269584722259,0.0010558585611127698
qwen8B,gender_male_vs_female,male,female,coaching,0.9193656859074056,0.6883692824130826,0.23099640349432304,199.0,149.0,1.335570467546507,0.1866666666666669,0.15333333333333335,19.913483059855317,8.10268621114065e-06
qwen8B,gender_male_vs_female,male,female,team,2.4936833349463488,2.276841305820583,0.21684202912576556,1357.0,1239.0,1.0952380951612284,0.9250000000000078,0.8800000000000068,5.913873521611973,0.015022105188199764
qwen8B,gender_male_vs_female,male,female,vertriebsmanager,0.26424440639183694,0.04954582619846942,0.21469858019336752,32.0,6.0,5.333332611111231,0.03166666666666667,0.006666666666666667,88.13941713201405,6.099986591921647e-21
qwen8B,gender_male_vs_female,male,female,digitalisierung,1.229430383214869,1.0251799681120795,0.20425041510278952,313.0,261.0,1.1992337157117483,0.27833333333333365,0.23666666666666722,11.102113155412894,0.0008622940987006822
qwen8B,gender_male_vs_female,male,female,ermöglichen,0.46669055777540835,0.2690333803646468,0.19765717741076155,85.0,49.0,1.734693862557268,0.1216666666666665,0.07999999999999992,31.86115695576438,1.6559575072443916e-08
qwen8B,gender_male_vs_female,male,female,ideal,0.5579735620818651,0.3607587685874127,0.19721479349445242,116.0,75.0,1.5466666593777778,0.18333333333333354,0.11999999999999984,25.400439371536585,4.658120127050121e-07
qwen8B,gender_male_vs_female,male,female,herausforderung,0.8935048786115821,0.6973696613553811,0.19613521725620098,246.0,192.0,1.2812499985351562,0.3399999999999997,0.27500000000000036,14.508632509362865,0.0001395187365470761
