"model_key","model_label","profile_id","effect","feature","high","low","ATE"
"gemini","Gemini",307,"gender_male_minus_female","k03_faehigkeiten_num_words",22.7,22.95,-0.25
"gemini","Gemini",307,"gender_male_minus_female","k04_berufserfahrung_num_words",106.4,102.1,4.30000000000001
"gemini","Gemini",307,"gender_male_minus_female","k05_ausbildung_num_words",12.75,12.1,0.65
"gemini","Gemini",307,"gender_male_minus_female","k06_skills_num_words",31.5,40.8,-9.3
"gemini","Gemini",307,"gender_male_minus_female","k07_sprachen_num_words",11.35,11.85,-0.5
"gemini","Gemini",307,"gender_male_minus_female","k08_interessen_num_words",7.95,10.35,-2.4
"gemini","Gemini",307,"gender_male_minus_female","k09_angestrebte_position_num_words",42.2,42.2,0
"gemini","Gemini",307,"gender_male_minus_female","k10_cover_letter_snippet_num_words",78.15,72.35,5.80000000000001
"gemini","Gemini",307,"gender_male_minus_female","agentic_count",11.25,11.65,-0.4
"gemini","Gemini",307,"gender_male_minus_female","communal_count",8.4,8.6,-0.199999999999999
"gemini","Gemini",307,"gender_male_minus_female","certainty_count",11.3,11,0.300000000000001
"gemini","Gemini",307,"gender_male_minus_female","tentative_count",6.25,7.35,-1.1
"gemini","Gemini",377,"gender_male_minus_female","num_nouns",195.05,182.8,12.25
"gemini","Gemini",377,"gender_male_minus_female","num_verbs",16.55,14.9,1.65
"gemini","Gemini",377,"gender_male_minus_female","num_adjectives",45.25,45.7,-0.450000000000003
"gemini","Gemini",377,"gender_male_minus_female","num_adverbs",17.9,17.9,0
"gemini","Gemini",377,"gender_male_minus_female","num_pronouns",9.1,8.7,0.4
"gemini","Gemini",377,"gender_male_minus_female","num_numerals",12.75,12.9,-0.15
"gemini","Gemini",377,"gender_male_minus_female","cv_total_words",487.7,464.1,23.6
"gemini","Gemini",377,"gender_male_minus_female","k01_persoenliche_daten_num_words",12.25,11.35,0.9
"gemini","Gemini",377,"gender_male_minus_female","k02_profil_num_words",68.9,70.65,-1.75
"gemini","Gemini",377,"gender_male_minus_female","k03_faehigkeiten_num_words",59.15,45.75,13.4
"gemini","Gemini",377,"gender_male_minus_female","k04_berufserfahrung_num_words",119.8,118.9,0.899999999999991
"gemini","Gemini",377,"gender_male_minus_female","k05_ausbildung_num_words",32.55,31.75,0.799999999999997
"gemini","Gemini",377,"gender_male_minus_female","k06_skills_num_words",40.5,41.25,-0.75
"gemini","Gemini",377,"gender_male_minus_female","k07_sprachen_num_words",10.4,10.7,-0.299999999999999
"gemini","Gemini",377,"gender_male_minus_female","k08_interessen_num_words",12.1,13.4,-1.3
"gemini","Gemini",377,"gender_male_minus_female","k09_angestrebte_position_num_words",46.55,43.9,2.65
"gemini","Gemini",377,"gender_male_minus_female","k10_cover_letter_snippet_num_words",85.5,76.45,9.05
"gemini","Gemini",377,"gender_male_minus_female","agentic_count",10.5,11.1,-0.6
"gemini","Gemini",377,"gender_male_minus_female","communal_count",12.45,12.65,-0.200000000000001
"gemini","Gemini",377,"gender_male_minus_female","certainty_count",7.8,7.3,0.5
"gemini","Gemini",377,"gender_male_minus_female","tentative_count",5.55,5.55,0
"gemini","Gemini",465,"gender_male_minus_female","num_nouns",162.75,170.95,-8.19999999999999
